From	To
B1VB64	61127909
B1VB65	61041449
B1VB66	62023080
B1VGH1	60604099
B1VN59	6210644
B1VQY7	6209855
B1VZT1	6210951
B1X8P9	61754035
B1XB41	61753430
B1XCS0	61754361
B2AAQ0	6197237
B2AM55	6189407
B2AVF1	6192283
B2B3C0	6194921
B2B629	6195934
B2BBY6	105640440
B2C6G4	158584
B2CMA5	57937957
B2D2I4	103387725
B2DCQ0	662961
B2DD57	100145905
B2GUW3	297453
B2GV06	690163
B2GV72	304078
B2GVM7	836477
B2KL34	107911611
B2KS63	9135902
B2KSJ5	103493386
B2LUN5	103437450
B2LUN6	103439436
B2M0R3	102577510
B2MUU4	100170250
B2MWN0	100191113
B2RCV8	83875
B2RFX8	9653111
B2RH42	29255415
B2RK03	29256385
B2RKK0	29256563
B2RKP0	29256602
B2RKU0	29256649
B2RL07	29256712
B2RLK2	29256891
B2RWS6	328572
B2RXC2	320404
B2RXH2	390245
B2RXZ1	240023
B2W4L0	6342801
B2X050	107839158
B2XWS4	103646537
B2Z3X2	101460349
B2Z9Y3	100191133
B2Z9Y4	100191134
B2Z9Y5	100191135
B2ZGJ1	100170938
B2ZSP7	102577833
B3A042	109717864
B3DKP9	565535
B3DN87	824859
B3EYB8	100169699
B3EYD3	778288
B3GK03	107795668
B3GQR5	101893594
B3GSH5	246281
B3IVM0	100063687
B3IVM1	100063687
B3KYI2	18642512
B3L2V1	7320008
B3L8G9	7322263
B3LF83	827215
B3RPG3	6750679
B3VCD5	100305010
B3VDR8	101221564
B3Y023	18766643
B4E7Z9	56559676
B4E9I9	56559163
B4EB35	56557496
B4ECY9	56557253
B4EE44	56557140
B4EFL2	56561646
B4EL89	56562289
B4EY92	6801715
B4F9Q1	100191672
B4F9R2	100191679
B4FAC0	100191831
B4FAJ2	100191887
B4FBN5	100274282
B4FHU1	100194203
B4FJN0	100216768
B4FLJ3	100217128
B4FVP3	100273457
B4G043	542713
B4XB31	106400440
B4XB31	106425865
B4XQ50	58257395
B4Y0U1	25497522
B4Y9T5	20327068
B5AFK3	45424443
B5AFK3	887169
B5B3R3	100191125
B5CY92	60971476
B5CY96	60971479
B5DC58	6866693
B5DFD5	300339
B5G4T9	101217277
B5GLC7	61469724
B5GLC8	61469725
B5GMG2	61474073
B5IEU6	8827093
B5KJG2	100188980
B5LAU2	107867353
B5LVX3	100305012
B5LVX4	100305013
B5THH5	104593836
B5UB85	100190958
B5X582	839948
B5XA65	100136365
B5XDG2	100196287
B6CXF7	6964489
B6DVJ7	58209617
B6E460	100305015
B6ETP1	100194418
B6ETP4	100286813
B6EXY6	844234
B6GX22	8311216
B6GZT2	8317456
B6HI95	8310191
B6HJQ3	8314124
B6HLU1	8310376
B6JVL2	7049572
B6Q5I3	7022697
B6QEB3	7025073
B6RGY0	4324565
B6SBM1	101498756
B6SBM2	101499706
B6SGJ5	100280465
B6SS03	100281078
B6ST66	103631958
B6SU46	100281293
B6SUQ7	100281366
B6SZW0	100281890
B6T563	100282231
B6T9B9	100282597
B6TSX9	100277322
B6YSF3	7017647
B6YTA7	7017971
B6YTB7	7017982
B6YU74	7016827
B6YUA8	7018642
B6YUE5	7018679
B6YVU0	7017078
B6YX36	7018183
B7EHV0	4340018
B7F7B9	4328527
B7FQV6	7196921
B7FRB8	7196650
B7FUG8	7198075
B7FUR7	7197634
B7FWP2	7200211
B7FWR0	7200218
B7FYW4	7201093
B7G1G6	7201832
B7QK46	8042451
B7SCZ6	108477343
B7SCZ7	105802249
B7SU41	100217381
B7TX39	61706408
B7XH73	100057016
B8A0E5	100279870
B8A110	100279968
B8A2V8	100280276
B8A5U5	568099
B8BQQ3	7442896
B8C1M9	7447245
B8CBW8	7450567
B8D352	7170449
B8GG73	7270526
B8H1Z0	7329904
B8JMZ1	555748
B8MJN2	8103389
B8R1K0	100126749
B8XY18	100155399
B8XY56	791890
B8Y658	13388865
B8YB76	507496
B8ZJH0	40155616
B9A1Q4	100301896
B9DFG3	843343
B9DGD6	833655
B9DIJ2	60543910
B9F813	4335227
B9GJG7	7487519
B9GJT3	7495781
B9GRL5	7471942
B9H4E1	7454371
B9HH87	7462594
B9HRH0	7494303
B9HUR3	7474174
B9I6S9	7465614
B9IJ10	7467609
B9IPD3	7487202
B9JK73	60832446
B9KDD4	7410986
B9LMS1	7400134
B9MK94	31773007
B9MKZ8	31773267
B9MPC3	31771913
B9RC08	8265393
B9RDZ7	8286702
B9RHX4	8259984
B9RXW0	8267421
B9S9Z3	8280754
B9TSP7	824837
B9TST1	102577568
B9W7C4	8044531
B9WCR8	8046417
B9X0I1	103323462
B9X297	61108082
B9ZYY6	100168405
C0H3U9	8302940
C0H3X7	8303094
C0H477	9221773
C0H4F3	813022
C0H5B7	813973
C0H9C1	106611485
C0HJ40	100381820
C0IRH4	103423907
C0IRH7	103405470
C0IRH8	103442570
C0IRH9	103405181
C0IRI0	103443198
C0IRI2	103449997
C0IRI3	103429442
C0KH22	104593836
C0KQW8	27209644
C0KWF5	61731106
C0KZ34	543696
C0LE03	57473027
C0LIR3	100301938
C0LJH4	57025607
C0LLU4	107905152
C0LLU5	107942738
C0LTQ2	660128
C0LZ80	100792177
C0P9J6	100302679
C0PVB3	32991
C0SPF7	100286798
C0SQJ0	100301599
C0ZRJ2	61554762
C1AGW8	45427190
C1E5X2	8243358
C1G1N6	22580559
C1GWV9	9098292
C1IHT9	100286778
C1JCT1	7751223
C1K5M2	100316884
C1K5M3	100316883
C1KH59	768123
C1KKR1	57472054
C1MIM3	9680214
C1MKR5	9681525
C1MQM1	9683588
C3K9U8	58731670
C3TWL9	431995
C3UZD2	100786638
C3VAL3	100337530
C3VD33	100301902
C3VI43	6800277
C3W4Q1	107781977
C3W6G3	23308118
C4B4E7	28169
C4JH04	8444615
C4JK49	8440442
C4JLQ3	8444137
C4JMZ0	8437211
C4KKZ9	7813195
C4KKZ9	7939304
C4LSI6	3411693
C4LSN1	3411701
C4LSS0	3411304
C4LTW4	3408493
C4LU94	3411362
C4LUA1	3411325
C4LUB5	3408567
C4LUV9	3410596
C4LWQ8	3409516
C4LXE8	3403451
C4LY96	3409079
C4LZN0	3404198
C4M036	3409698
C4M0W5	3408818
C4M1C3	3410291
C4M1E4	3405164
C4M2I2	3406396
C4M387	3402742
C4M4T4	3406251
C4M5H3	3411902
C4M7U9	3403481
C4M7X2	3404909
C4MA87	3406275
C4MH52	100499626
C4NFG1	100301981
C4PAW8	101209723
C4PBL7	107933480
C4PJN3	100502521
C4PJN4	100502522
C4PW05	830139
C4QZH8	8198170
C4QZZ6	8198594
C4R044	8198805
C4R3T2	8199939
C4R4L0	8199577
C5A6Q4	7988147
C5BB06	7960734
C5CAR9	7986167
C5CBT8	7986251
C5CBV0	7986263
C5CCL7	7984944
C5H5C4	570510
C5H805	100316877
C5IGQ3	103455413
C5IGQ4	103437875
C5IU71	100316873
C5IUM6	106354606
C5M7M6	8300122
C5MK48	8825678
C5NZL6	9697549
C5NZY5	9697412
C5P3T4	9695992
C5P507	9695437
C5PE18	9692945
C5PE62	9692333
C5PIJ9	9691967
C5X6I4	8054481
C5X951	8065472
C5XAI0	8054590
C5XC49	8055797
C5XWH8	8070594
C5XWV7	8079406
C5XXB7	8059672
C5XXT8	8074774
C5XXT9	8066166
C5XYZ9	8078313
C5YCD6	8054282
C5YH12	8069622
C5YK81	8069872
C5YLL4	8077848
C5Z4W3	8070884
C6EUD3	100806337
C6K2K9	100316902
C6K2L0	100316874
C6KEM4	541949
C6KI50	101869442
C6KSZ2	3885811
C6KT50	3885888
C6KTC3	3885728
C6KTC5	3885730
C6S3D7	8445054
C6SVM8	100305558
C6TER4	100786578
C6TFD8	100798757
C6ZDA9	107938996
C6ZDA9	107942909
C6ZDB0	107924317
C6ZH48	104936945
C6ZIA5	107769293
C7AU21	107276001
C7B9C0	8273270
C7C422	61419528
C7C6F6	101121875
C7ENW3	102577863
C7EP45	12242763
C7EXK4	508723
C7P8V7	8365882
C7SCX0	103443360
C7T2J7	101835647
C7T2J8	101831309
C7YUZ1	9674989
C7ZKN4	9675714
C8WGQ3	40922132
C8WJW0	40921041
C8WJZ5	40921076
C8WMP0	40921520
C9D6Z5	100306949
C9DEC7	104672173
C9DEC8	104672174
C9JRZ8	441282
C9ZP98	23861364
C9ZVV9	23863695
D0A003	23864892
D0EJL8	2541041
D0IZN8	60803646
D0KQM8	38467420
D0KSD0	44129418
D0KTV8	44129920
D0PQ37	4339885
D0QEL0	100316863
D0QU16	100316898
D0QXJ5	103831042
D0TZ30	8560146
D0TZ31	8560152
D0UHB3	3031333
D0UZK2	102577959
D0VDT4	100139386
D0W011	659375
D0W013	659506
D0W014	659572
D1L2X0	8676101
D1L2X1	8676102
D2A0S2	659087
D2CPE1	8267537
D2CS41	107790348
D2D5G3	100804517
D2D5G4	100791154
D2D954	105641985
D2E4A5	105634864
D2IWA7	101498597
D2JRZ6	102577700
D2KE02	100337624
D2KE03	100329172
D2KLJ1	657520
D2KLJ2	662916
D2KQI9	100736507
D2KWC2	733006
D2KWM9	107800135
D2KX94	101241715
D2SML9	100337522
D2SMM0	100337521
D2SMM1	100337519
D2SMM2	100337517
D2SMM3	100337518
D2SMM4	100337525
D2SMM5	100337524
D2SMM6	100337523
D2WKD9	23687722
D2Y3F4	100750249
D2Y3T9	100529139
D3E4S5	8771278
D3GAN3	105921156
